FACILITY_ID,STATUS,FACILITY_NAME,RECORD_ID,PROGRAM_NAME,PROGRAM_ELEMENT__PE_,PE_DESCRIPTION,FACILITY_ADDRESS,FACILITY_CITY,FACILITY__STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,OWNER_ID,OWNER_NAME,OWNER_ADDRESS,OWNER_CITY,OWNER_STATE,OWNER_ZIP,Location,ObjectId
FA0243567,Open,GROCERY OUTLET,PR0191778,GROCERY OUTLET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1615 W VERDUGO RD,BURBANK,CA,91506,34.1679864798,-118.322937948,OW0238850,"TMPRUITT, INC",1615 W VERDUGO RD,BURBANK,CA,91506-2101,"(34.1679864798, -118.322937948)",14275
FA0062036,Open,FIELDS MARKET,PR0038040,FIELDS MARKET MEAT DEPT,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",23221 SATICOY ST,CANOGA PARK,CA,91304,34.2083796566,-118.6329122339,OW0033248,"SMITH, RICHARD",23221   SATICOY ST,CANOGA PARK,CA,91304,"(34.2083796566, -118.6329122339)",14277
FA0275978,Open,FLOW,PR0229398,FLOW,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",104 E ALONDRA BLVD,GARDENA,CA,90248,33.8855864779,-118.2754396363,OW0265229,"JAMIE'S MARKET, INC",104 E ALONDRA BLVD,GARDENA,CA,90248,"(33.8855864779, -118.2754396363)",14278
FA0018073,Open,DANNY'S FRESH MEAT & PRODUCE,PR0002561,DANNY'S FRESH MEAT & PRODUCE,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",17648 VANOWEN ST,VAN NUYS,CA,91406,34.1936624818,-118.517863528,OW0014930,"HARUTUNIAN, EDWARD",17648   VANOWEN ST,VAN NUYS,CA,91406,"(34.1936624818, -118.517863528)",14279
FA0058317,Open,BEVERLYWOOD MARKET,PR0036852,BEVERLYWOOD MARKET,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1800 S ROBERTSON BLVD STE #1,LOS ANGELES,CA,90035,34.0464912442,-118.3861483386,OW0018361,KANG HANNAH YOUNGJA,1800  S ROBERTSON BLVD #1,LOS ANGELES,CA,90035,"(34.0464912442, -118.3861483386)",14281
FA0300053,Open,GONZALEZ DISCOUNT STORE,PR0257224,GONZALEZ DISCOUNT STORE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5922 E OLYMPIC BLVD,LOS ANGELES,CA,90022,None,None,OW0283364,MARTHA GONZALEZ,5922 E OLYMPIC BLVD,LOS ANGELES,CA,90022-5211,None,14284
FA0282273,Open,ACAPULCO MARKET,PR0237189,ACAPULCO MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5972 CLARA ST,BELL GARDENS,CA,90201,33.962328,-118.15983,OW0270528,RAUDEL ULLOA,5972 CLARA ST,BELL GARDENS,CA,90201-4722,"(33.962328, -118.15983)",14288
FA0018518,Open,DESERT ROSE MINI MART/AV ICE,PR0040598,DESERT ROSE MINI MART/AV ICE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",106 E AVENUE I,LANCASTER,CA,93535,34.7036745513,-118.1300294451,OW0011302,ESQUIVEL JUAN MANUEL GARCIA,106  E AVE I,LANCASTER,CA,93535,"(34.7036745513, -118.1300294451)",14293
FA0008521,Open,CHERRY MARKET & GAS ENTERPRISE,PR0005072,CHERRY MARKET & GAS ENTERPRI,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",2790 N CHERRY AVE,SIGNAL HILL,CA,90755,33.8076690949,-118.1672665289,OW0007423,CHERRY MARKET & GAS ENTERPRISE,2790  N CHERRY AVE,SIGNAL HILL,CA,90755,"(33.8076690949, -118.1672665289)",14294
FA0279715,Open,7-ELEVEN STORE 39266A,PR0234157,7-ELEVEN STORE 39266A,1614,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",6224 S FIGUEROA ST,LOS ANGELES,CA,90003,33.982686,-118.282275,OW0268402,SALUSON GAGE C-STORE INC,P.O. BOX 219088,DALLAS,TX,75221,"(33.982686, -118.282275)",14296
FA0028456,Open,"HIP WOO HONG, INC.",PR0002346,"HIP WOO HONG, INC.",1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",709 N HILL ST STE #22,LOS ANGELES,CA,90012,34.0609426974,-118.2404496298,OW0015587,"HIP WOO HONG, INC.",709  N HILL ST. #22,LOS ANGELES,CA,90012,"(34.0609426974, -118.2404496298)",14297
